Time	root mean square voltage																			
	0.50V (±0.005)		1.00V (±0.005 V)		1.50 V (±0.005 V)		2.00 V (±0.005 V)		2.50V (±0.005 V)		3.00V  (±0.005 V)		3.50V  (±0.005 V)		4.00V  (±0.005 V)		4.50V  (±0.005 V)		5.00V  (±0.005 V)	
	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)
0.057	0.602	0.0049	0.685	-0.0048	1.452	-0.0154	1.827	0.0299	3.069	-0.0003	3.68	-0.0121	3.75	-0.0356	4.519	-0.0389	4.963	0.0653	3.79	-0.0223
0.058	0.57	-0.0039	0.703	0.0052	1.289	-0.0145	2.192	0.0354	2.832	-0.0235	3.353	-0.0293	3.364	-0.0362	4.08	-0.0407	4.963	0.0163	3.89	0.023
0.059	0.519	-0.0042	0.824	0.0145	1.155	-0.0105	2.458	0.0191	2.557	-0.025	3.022	-0.0302	2.992	-0.035	3.651	-0.0407	4.963	-0.0417	4.44	0.0629
0.06	0.465	-0.0045	1.008	0.0188	1.137	0.0037	2.423	-0.0121	2.289	-0.0247	2.697	-0.0299	2.691	-0.0232	3.242	-0.0383	4.817	-0.0459	4.963	0.0819
0.061	0.415	-0.0042	1.167	0.0127	1.284	0.0185	2.203	-0.0196	2.033	-0.0238	2.395	-0.0274	2.673	0.0085	2.987	-0.0157	4.324	-0.0468	4.963	0.0617
0.062	0.367	-0.0042	1.162	-0.0057	1.546	0.0275	1.982	-0.0196	1.84	-0.0133	2.223	-0.009	3.006	0.0399	3.093	0.0212	3.848	-0.0456	4.963	0.0012
0.063	0.336	-0.0018	1.057	-0.0084	1.827	0.0242	1.769	-0.0196	1.864	0.0097	2.344	0.0197	3.572	0.058	3.565	0.0529	3.468	-0.0296	4.963	-0.048
0.064	0.352	0.004	0.954	-0.0093	1.926	0.0027	1.569	-0.0178	2.135	0.0318	2.731	0.0435	4.16	0.0526	4.233	0.0662	3.438	0.0094	4.963	-0.051
0.065	0.429	0.0094	0.853	-0.009	1.786	-0.0145	1.454	-0.0057	2.557	0.0429	3.259	0.0517	4.417	0.0112	4.813	0.0469	3.837	0.049	4.655	-0.051
0.066	0.537	0.0109	0.753	-0.0087	1.614	-0.0148	1.54	0.0145	2.963	0.0339	3.679	0.0315	4.158	-0.0326	4.916	-0.0051	4.535	0.0716	4.14	-0.0483
0.067	0.611	0.0052	0.685	-0.0045	1.446	-0.0154	1.817	0.0299	3.075	0.0006	3.691	-0.0111	3.765	-0.0356	4.523	-0.0389	4.963	0.0659	3.799	-0.0223
0.068	0.578	-0.0039	0.703	0.0052	1.284	-0.0145	2.183	0.0357	2.841	-0.0235	3.367	-0.0296	3.38	-0.0365	4.087	-0.0407	4.963	0.0173	3.901	0.023
0.069	0.526	-0.0039	0.828	0.0148	1.15	-0.0105	2.458	0.0197	2.566	-0.0247	3.038	-0.0302	3.006	-0.035	3.658	-0.0407	4.963	-0.041	4.452	0.0623
0.07	0.473	-0.0045	1.014	0.0188	1.133	0.0037	2.43	-0.0114	2.299	-0.025	2.712	-0.0302	2.703	-0.0232	3.247	-0.0383	4.824	-0.0459	4.963	0.0813
0.071	0.423	-0.0042	1.175	0.013	1.28	0.0185	2.209	-0.0193	2.042	-0.0241	2.407	-0.0274	2.678	0.0076	2.99	-0.0166	4.334	-0.0465	4.963	0.0607
0.072	0.374	-0.0039	1.173	-0.0054	1.545	0.0275	1.989	-0.0196	1.846	-0.0139	2.235	-0.0093	3.003	0.039	3.092	0.0209	3.855	-0.0456	4.963	0
0.073	0.34	-0.0018	1.067	-0.0087	1.827	0.0245	1.775	-0.0196	1.87	0.0097	2.351	0.0197	3.56	0.0574	3.561	0.0529	3.474	-0.0302	4.963	-0.0483
0.074	0.352	0.0037	0.964	-0.0093	1.933	0.0034	1.575	-0.0178	2.136	0.0308	2.736	0.0429	4.146	0.0523	4.23	0.0665	3.437	0.0088	4.963	-0.0507
0.075	0.425	0.0085	0.86	-0.0087	1.794	-0.0142	1.462	-0.0057	2.552	0.0426	3.259	0.0514	4.405	0.0118	4.813	0.0472	3.833	0.049	4.637	-0.051
0.076	0.529	0.0109	0.762	-0.0087	1.624	-0.0151	1.548	0.0145	2.956	0.0336	3.679	0.0315	4.152	-0.0323	4.925	-0.0045	4.532	0.0716	4.122	-0.0486
0.077	0.602	0.0049	0.691	-0.0048	1.454	-0.0154	1.822	0.0299	3.068	0.0003	3.694	-0.0108	3.758	-0.0356	4.533	-0.0392	4.963	0.0668	3.785	-0.022
0.078	0.568	-0.0036	0.703	0.0049	1.292	-0.0145	2.187	0.0354	2.834	-0.0238	3.37	-0.0296	3.374	-0.0359	4.094	-0.0407	4.963	0.0175	3.886	0.023
0.079	0.518	-0.0042	0.824	0.0145	1.156	-0.0111	2.46	0.0197	2.56	-0.0247	3.038	-0.0302	3	-0.0353	3.668	-0.0407	4.963	-0.041	4.442	0.0632
0.08	0.465	-0.0042	1.005	0.0185	1.133	0.0031	2.431	-0.0114	2.293	-0.0247	2.714	-0.0302	2.692	-0.0235	3.255	-0.0383	4.838	-0.0462	4.963	0.0819
0.081	0.415	-0.0042	1.166	0.0127	1.276	0.0182	2.212	-0.0193	2.036	-0.0238	2.409	-0.0274	2.658	0.0064	2.998	-0.0163	4.347	-0.0462	4.963	0.0617
0.082	0.367	-0.0036	1.162	-0.0051	1.537	0.0275	1.991	-0.0199	1.839	-0.0142	2.234	-0.0096	2.977	0.0387	3.098	0.0206	3.867	-0.0456	4.963	0.0003
0.083	0.334	-0.0018	1.057	-0.0087	1.822	0.0248	1.777	-0.0196	1.853	0.0088	2.345	0.0194	3.537	0.0577	3.564	0.0523	3.483	-0.0302	4.963	-0.048
0.084	0.352	0.0043	0.954	-0.009	1.933	0.004	1.577	-0.0178	2.12	0.0308	2.73	0.0426	4.133	0.0538	4.225	0.0659	3.444	0.0082	4.963	-0.051
0.085	0.428	0.0094	0.854	-0.009	1.797	-0.0145	1.46	-0.006	2.536	0.0432	3.249	0.0514	4.416	0.0136	4.804	0.0466	3.833	0.0484	4.649	-0.051
0.086	0.537	0.0112	0.753	-0.0087	1.626	-0.0151	1.542	0.0142	2.948	0.0351	3.672	0.0315	4.175	-0.032	4.911	-0.0051	4.528	0.071	4.134	-0.0486
0.087	0.612	0.0049	0.685	-0.0048	1.457	-0.0154	1.815	0.0296	3.074	0.0022	3.687	-0.0105	3.785	-0.0359	4.52	-0.0389	4.963	0.0659	3.797	-0.0217
0.088	0.579	-0.0036	0.7	0.0052	1.295	-0.0148	2.175	0.0354	2.848	-0.0232	3.367	-0.0293	3.398	-0.0362	4.082	-0.041	4.963	0.0175	3.901	0.0233
0.089	0.527	-0.0042	0.825	0.0145	1.158	-0.0108	2.45	0.02	2.574	-0.0244	3.034	-0.0302	3.022	-0.035	3.654	-0.0404	4.963	-0.0407	4.453	0.0629
0.09	0.475	-0.0042	1.008	0.0191	1.135	0.0031	2.425	-0.0111	2.307	-0.0247	2.71	-0.0299	2.712	-0.0244	3.243	-0.0386	4.824	-0.0459	4.963	0.0813
