Time	root mean square voltage																			
	0.50V (±0.005)		1.00V (±0.005 V)		1.50 V (±0.005 V)		2.00 V (±0.005 V)		2.50V (±0.005 V)		3.00V  (±0.005 V)		3.50V  (±0.005 V)		4.00V  (±0.005 V)		4.50V  (±0.005 V)		5.00V  (±0.005 V)	
	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)
17.058	0.462	-0.0042	0.919	0.0175	1.74	-0.0145	2.004	-0.0196	2.28	0.0372	2.662	0.0399	2.654	0.0009	3.769	-0.041	4.963	0.0112	4.963	0.0568
17.059	0.411	-0.0042	1.109	0.0173	1.569	-0.0157	1.79	-0.0196	2.719	0.0432	3.181	0.052	2.917	0.0339	3.352	-0.0398	4.963	-0.0423	4.963	-0.0066
17.06	0.364	-0.0036	1.186	0.0031	1.399	-0.0151	1.587	-0.0181	3.045	0.0233	3.637	0.0366	3.449	0.0556	3.027	-0.0244	4.783	-0.0462	4.963	-0.0486
17.061	0.338	-0.0009	1.102	-0.0084	1.241	-0.0145	1.454	-0.0081	3.008	-0.0142	3.718	-0.0042	4.06	0.0568	3.021	0.0109	4.293	-0.0462	4.963	-0.051
17.062	0.365	0.0052	0.996	-0.0087	1.138	-0.0063	1.513	0.0118	2.731	-0.0241	3.417	-0.029	4.407	0.0209	3.402	0.0456	3.819	-0.0453	4.596	-0.0507
17.063	0.448	0.0097	0.895	-0.009	1.18	0.0091	1.766	0.0281	2.463	-0.025	3.084	-0.0302	4.239	-0.0293	4.029	0.0644	3.456	-0.0272	4.089	-0.0471
17.064	0.555	0.0106	0.796	-0.0087	1.381	0.023	2.123	0.0354	2.198	-0.0244	2.756	-0.0302	3.844	-0.0356	4.682	0.0571	3.46	0.0124	3.788	-0.0178
17.065	0.604	0.0019	0.705	-0.0072	1.671	0.0287	2.425	0.023	1.949	-0.0223	2.449	-0.0287	3.461	-0.0359	4.945	0.0109	3.891	0.0517	3.943	0.0281
17.066	0.559	-0.0039	0.677	0.0006	1.915	0.0191	2.443	-0.0069	1.82	-0.006	2.245	-0.013	3.079	-0.0356	4.649	-0.0371	4.602	0.0725	4.537	0.0653
17.067	0.507	-0.0045	0.757	0.0109	1.919	-0.0069	2.228	-0.0193	1.936	0.0182	2.314	0.0154	2.748	-0.0274	4.213	-0.0407	4.963	0.0638	4.963	0.0819
17.068	0.455	-0.0042	0.923	0.0179	1.748	-0.0148	2.009	-0.0196	2.273	0.0369	2.668	0.0399	2.655	0.0003	3.78	-0.041	4.963	0.0124	4.963	0.0556
17.069	0.404	-0.0045	1.114	0.0173	1.577	-0.0157	1.795	-0.0196	2.714	0.0435	3.181	0.0514	2.916	0.0342	3.363	-0.0398	4.963	-0.0426	4.963	-0.0072
17.07	0.359	-0.0033	1.196	0.0037	1.407	-0.0151	1.592	-0.0184	3.045	0.0239	3.637	0.0363	3.448	0.0556	3.033	-0.0247	4.794	-0.0459	4.963	-0.0489
17.071	0.334	-0.0006	1.112	-0.0084	1.247	-0.0145	1.459	-0.0081	3.016	-0.0136	3.718	-0.0042	4.059	0.0571	3.021	0.01	4.303	-0.0462	4.963	-0.0507
17.072	0.365	0.0055	1.007	-0.009	1.14	-0.0066	1.516	0.0118	2.738	-0.0244	3.417	-0.029	4.415	0.0215	3.396	0.0453	3.828	-0.0453	4.587	-0.051
17.073	0.452	0.01	0.903	-0.0093	1.179	0.0088	1.77	0.0281	2.47	-0.0247	3.083	-0.0302	4.249	-0.0293	4.023	0.0644	3.465	-0.0278	4.081	-0.0471
17.074	0.562	0.0109	0.805	-0.009	1.377	0.023	2.125	0.0354	2.204	-0.0247	2.759	-0.0302	3.856	-0.0356	4.677	0.0577	3.461	0.0121	3.784	-0.0178
17.075	0.614	0.0024	0.714	-0.0075	1.666	0.0287	2.426	0.0233	1.956	-0.022	2.447	-0.0287	3.468	-0.0359	4.952	0.0121	3.889	0.0511	3.938	0.0281
17.076	0.572	-0.0039	0.681	0	1.911	0.0191	2.448	-0.0069	1.824	-0.006	2.241	-0.0133	3.089	-0.0353	4.664	-0.0371	4.598	0.0728	4.534	0.0659
17.077	0.518	-0.0042	0.752	0.0103	1.917	-0.0066	2.233	-0.0193	1.94	0.0182	2.307	0.0151	2.755	-0.0278	4.227	-0.0407	4.963	0.0644	4.963	0.0819
17.078	0.466	-0.0045	0.915	0.0175	1.746	-0.0148	2.013	-0.0196	2.276	0.0366	2.658	0.0399	2.661	0.0006	3.792	-0.0407	4.963	0.0133	4.963	0.0556
17.079	0.415	-0.0045	1.104	0.0173	1.575	-0.0157	1.8	-0.0196	2.713	0.0429	3.172	0.0511	2.915	0.0333	3.374	-0.0398	4.963	-0.0423	4.963	-0.0072
17.08	0.367	-0.0039	1.185	0.0037	1.406	-0.0154	1.596	-0.0184	3.04	0.0233	3.629	0.0366	3.444	0.0556	3.042	-0.0253	4.811	-0.0462	4.963	-0.0489
17.081	0.339	-0.0006	1.102	-0.0084	1.245	-0.0145	1.46	-0.0081	3.01	-0.0133	3.714	-0.0039	4.05	0.0565	3.026	0.0097	4.319	-0.0465	4.963	-0.051
17.082	0.365	0.0049	0.998	-0.009	1.141	-0.0063	1.514	0.0112	2.732	-0.0244	3.413	-0.0287	4.401	0.0212	3.393	0.0444	3.842	-0.0456	4.585	-0.0507
17.083	0.448	0.0097	0.895	-0.0093	1.182	0.0091	1.764	0.0278	2.465	-0.025	3.08	-0.0305	4.234	-0.0293	4.016	0.0641	3.475	-0.0278	4.079	-0.0471
17.084	0.553	0.0103	0.797	-0.0087	1.382	0.023	2.118	0.0354	2.199	-0.0244	2.755	-0.0302	3.842	-0.0353	4.665	0.0574	3.467	0.0112	3.78	-0.0172
17.085	0.604	0.0024	0.705	-0.0075	1.671	0.0287	2.42	0.0236	1.951	-0.022	2.446	-0.0287	3.455	-0.0365	4.94	0.0121	3.888	0.0508	3.937	0.0281
17.086	0.559	-0.0042	0.675	0.0003	1.913	0.0188	2.442	-0.0066	1.816	-0.0066	2.24	-0.0133	3.078	-0.0356	4.653	-0.0371	4.589	0.0719	4.533	0.0659
17.087	0.508	-0.0042	0.751	0.0109	1.916	-0.0069	2.23	-0.0193	1.925	0.0175	2.304	0.0148	2.743	-0.0278	4.216	-0.0407	4.963	0.0641	4.963	0.0819
17.088	0.454	-0.0045	0.917	0.0175	1.745	-0.0148	2.009	-0.0196	2.261	0.0363	2.655	0.0399	2.645	0.0003	3.782	-0.0407	4.963	0.0133	4.963	0.0559
17.089	0.404	-0.0042	1.106	0.0175	1.573	-0.0157	1.797	-0.0196	2.699	0.0435	3.168	0.0514	2.899	0.0333	3.367	-0.0398	4.963	-0.042	4.963	-0.0075
17.09	0.358	-0.0039	1.195	0.004	1.404	-0.0151	1.593	-0.0187	3.038	0.0245	3.628	0.0372	3.428	0.0559	3.031	-0.0259	4.792	-0.0462	4.963	-0.0486
17.091	0.333	-0.0006	1.114	-0.0081	1.244	-0.0148	1.458	-0.0084	3.02	-0.0121	3.718	-0.0033	4.044	0.0577	3.009	0.0088	4.302	-0.0462	4.963	-0.051
17.092	0.363	0.0052	1.01	-0.009	1.137	-0.0066	1.51	0.0115	2.745	-0.0241	3.421	-0.0287	4.409	0.0227	3.374	0.0444	3.828	-0.0453	4.585	-0.0507
17.093	0.449	0.01	0.905	-0.009	1.175	0.0088	1.763	0.0281	2.475	-0.0247	3.089	-0.0302	4.257	-0.0287	3.996	0.0644	3.457	-0.0284	4.079	-0.0474
17.094	0.559	0.0109	0.807	-0.009	1.375	0.023	2.117	0.0354	2.212	-0.0244	2.76	-0.0302	3.861	-0.0356	4.659	0.0583	3.445	0.0109	3.78	-0.0175
17.095	0.614	0.0027	0.714	-0.0075	1.662	0.0287	2.423	0.0239	1.96	-0.022	2.454	-0.029	3.475	-0.0365	4.949	0.0139	3.861	0.0508	3.938	0.0281
17.096	0.57	-0.0039	0.68	-0.0003	1.909	0.0191	2.448	-0.006	1.824	-0.0069	2.241	-0.0139	3.096	-0.0356	4.677	-0.0365	4.571	0.0725	4.533	0.0662
17.097	0.519	-0.0042	0.749	0.0103	1.917	-0.0066	2.238	-0.0193	1.932	0.0175	2.303	0.0145	2.76	-0.0278	4.237	-0.0407	4.963	0.0653	4.963	0.0822
17.098	0.465	-0.0042	0.908	0.0173	1.747	-0.0148	2.017	-0.0196	2.267	0.0366	2.651	0.0396	2.657	-0.0006	3.803	-0.0407	4.963	0.0154	4.963	0.0559
17.099	0.415	-0.0042	1.098	0.0175	1.575	-0.0157	1.805	-0.0196	2.701	0.0435	3.165	0.0517	2.906	0.033	3.385	-0.0398	4.963	-0.042	4.963	-0.0075
17.1	0.367	-0.0036	1.189	0.004	1.405	-0.0154	1.598	-0.0187	3.04	0.0248	3.628	0.0375	3.432	0.055	3.048	-0.0262	4.822	-0.0459	4.963	-0.0492
17.101	0.34	-0.0012	1.108	-0.0081	1.247	-0.0145	1.462	-0.0084	3.022	-0.0121	3.724	-0.0024	4.041	0.0574	3.017	0.0079	4.328	-0.0465	4.963	-0.051
17.102	0.363	0.0049	1.004	-0.009	1.141	-0.0066	1.508	0.0109	2.75	-0.0241	3.428	-0.0293	4.406	0.0224	3.376	0.0438	3.853	-0.0453	4.589	-0.0507
17.103	0.445	0.0094	0.901	-0.009	1.182	0.0091	1.758	0.0278	2.479	-0.0247	3.095	-0.0302	4.256	-0.0284	3.994	0.0638	3.478	-0.029	4.085	-0.0468
17.104	0.55	0.0106	0.802	-0.009	1.381	0.023	2.111	0.0354	2.215	-0.0244	2.768	-0.0302	3.86	-0.0356	4.65	0.0586	3.458	0.0103	3.786	-0.0172
17.105	0.605	0.0024	0.711	-0.0072	1.671	0.0287	2.42	0.0242	1.962	-0.0226	2.459	-0.0287	3.474	-0.0359	4.949	0.0139	3.867	0.0499	3.947	0.0287
17.106	0.562	-0.0039	0.678	0	1.915	0.0191	2.452	-0.0057	1.823	-0.0069	2.249	-0.0139	3.095	-0.0356	4.678	-0.0365	4.572	0.0719	4.539	0.0656
17.107	0.51	-0.0042	0.751	0.0106	1.922	-0.0066	2.241	-0.0193	1.926	0.017	2.308	0.0145	2.757	-0.0281	4.239	-0.0407	4.963	0.0653	4.963	0.0816
17.108	0.457	-0.0042	0.912	0.0173	1.749	-0.0148	2.02	-0.0196	2.258	0.0363	2.654	0.039	2.654	-0.0006	3.803	-0.0407	4.963	0.0151	4.963	0.0544
17.109	0.408	-0.0042	1.104	0.0179	1.579	-0.0154	1.806	-0.0193	2.692	0.0429	3.164	0.0511	2.899	0.0327	3.388	-0.0398	4.963	-0.0417	4.963	-0.0081
17.11	0.362	-0.0036	1.192	0.004	1.41	-0.0154	1.602	-0.0187	3.032	0.0248	3.624	0.0369	3.427	0.0553	3.045	-0.0266	4.819	-0.0459	4.963	-0.0489
17.111	0.335	-0.0009	1.115	-0.0081	1.249	-0.0145	1.464	-0.0084	3.02	-0.0117	3.715	-0.003	4.03	0.0574	3.012	0.0079	4.33	-0.0465	4.963	-0.051
17.112	0.364	0.0052	1.01	-0.0093	1.141	-0.0066	1.513	0.0109	2.745	-0.0241	3.421	-0.029	4.401	0.023	3.363	0.0432	3.851	-0.0456	4.572	-0.0507
17.113	0.448	0.0097	0.905	-0.0087	1.179	0.0088	1.759	0.0278	2.475	-0.025	3.086	-0.0302	4.254	-0.0281	3.981	0.0638	3.477	-0.029	4.066	-0.0468
17.114	0.558	0.0109	0.807	-0.009	1.376	0.0227	2.111	0.0351	2.212	-0.0244	2.761	-0.0302	3.86	-0.0353	4.639	0.0589	3.452	0.01	3.772	-0.0175
17.115	0.613	0.0027	0.715	-0.0075	1.664	0.0284	2.419	0.0242	1.96	-0.0226	2.45	-0.0287	3.473	-0.0368	4.943	0.0148	3.857	0.0499	3.931	0.0287
17.116	0.57	-0.0036	0.676	-0.0009	1.908	0.0188	2.449	-0.0057	1.82	-0.0072	2.239	-0.0142	3.093	-0.0353	4.679	-0.0365	4.558	0.0716	4.529	0.0665
17.117	0.518	-0.0045	0.744	0.01	1.914	-0.0066	2.239	-0.019	1.92	0.0167	2.293	0.0142	2.755	-0.0284	4.242	-0.0404	4.963	0.0653	4.963	0.0822
17.118	0.463	-0.0045	0.901	0.0173	1.743	-0.0151	2.018	-0.0199	2.252	0.0363	2.638	0.0393	2.651	-0.0009	3.808	-0.0407	4.963	0.0157	4.963	0.0556
17.119	0.414	-0.0045	1.091	0.0179	1.572	-0.0154	1.804	-0.0193	2.686	0.0432	3.153	0.0514	2.894	0.0323	3.388	-0.0398	4.963	-0.0414	4.963	-0.0075
17.12	0.367	-0.0036	1.186	0.0046	1.401	-0.0154	1.601	-0.019	3.032	0.0257	3.62	0.0384	3.419	0.0553	3.046	-0.0269	4.819	-0.0462	4.963	-0.0486
17.121	0.338	-0.0012	1.111	-0.0081	1.243	-0.0145	1.459	-0.0087	3.027	-0.0111	3.724	-0.0021	4.024	0.0577	3.006	0.0073	4.328	-0.0462	4.963	-0.0507
17.122	0.362	0.0049	1.005	-0.009	1.138	-0.0066	1.502	0.01	2.754	-0.0241	3.433	-0.0287	4.401	0.0239	3.353	0.0429	3.851	-0.0456	4.59	-0.0507
17.123	0.442	0.0094	0.903	-0.009	1.179	0.0088	1.747	0.0278	2.484	-0.025	3.098	-0.0305	4.262	-0.0274	3.967	0.0638	3.473	-0.0293	4.082	-0.0471
17.124	0.549	0.0106	0.804	-0.0087	1.377	0.023	2.1	0.0351	2.22	-0.0244	2.773	-0.0302	3.867	-0.0353	4.631	0.0595	3.443	0.0094	3.786	-0.0169
17.125	0.605	0.0027	0.714	-0.0075	1.666	0.0287	2.413	0.0251	1.967	-0.0226	2.461	-0.029	3.481	-0.0365	4.945	0.016	3.843	0.0493	3.947	0.0284
17.126	0.564	-0.0039	0.676	-0.0003	1.913	0.0191	2.453	-0.0051	1.822	-0.0075	2.249	-0.0142	3.101	-0.0353	4.693	-0.0356	4.543	0.0716	4.545	0.0662
17.127	0.51	-0.0042	0.745	0.01	1.921	-0.0063	2.244	-0.019	1.92	0.0163	2.302	0.0139	2.764	-0.0287	4.253	-0.0404	4.963	0.0662	4.963	0.0816
17.128	0.457	-0.0042	0.906	0.0175	1.751	-0.0148	2.024	-0.0199	2.247	0.0357	2.645	0.039	2.65	-0.0012	3.819	-0.0404	4.963	0.017	4.963	0.055
17.129	0.408	-0.0039	1.097	0.0182	1.579	-0.0157	1.81	-0.0196	2.682	0.0435	3.154	0.0511	2.892	0.0321	3.4	-0.0401	4.963	-0.041	4.963	-0.0084
17.13	0.361	-0.0042	1.195	0.0052	1.41	-0.0154	1.604	-0.019	3.033	0.0263	3.62	0.0384	3.409	0.0553	3.054	-0.0274	4.83	-0.0459	4.963	-0.0486
17.131	0.334	-0.0009	1.12	-0.0084	1.249	-0.0145	1.464	-0.009	3.034	-0.0105	3.726	-0.0021	4.023	0.0583	3.006	0.0061	4.338	-0.0462	4.963	-0.051
17.132	0.362	0.0049	1.016	-0.0087	1.141	-0.0069	1.506	0.01	2.761	-0.0241	3.436	-0.0287	4.406	0.0242	3.349	0.0426	3.862	-0.0456	4.58	-0.0507
17.133	0.446	0.01	0.912	-0.0093	1.178	0.0085	1.749	0.0275	2.493	-0.0247	3.102	-0.0302	4.273	-0.0269	3.96	0.0635	3.48	-0.0302	4.074	-0.0471
17.134	0.555	0.0109	0.813	-0.009	1.375	0.023	2.102	0.0351	2.227	-0.0247	2.773	-0.0302	3.877	-0.0359	4.626	0.0604	3.444	0.0088	3.779	-0.0169
17.135	0.616	0.0031	0.72	-0.0078	1.661	0.0284	2.415	0.0251	1.974	-0.0226	2.465	-0.029	3.49	-0.0365	4.951	0.017	3.838	0.049	3.942	0.0287
17.136	0.572	-0.0039	0.68	-0.0009	1.909	0.0194	2.455	-0.0048	1.827	-0.0078	2.247	-0.0145	3.113	-0.0356	4.703	-0.035	4.539	0.0719	4.539	0.0665
17.137	0.521	-0.0042	0.741	0.0097	1.919	-0.0066	2.247	-0.019	1.923	0.016	2.298	0.0133	2.771	-0.0287	4.267	-0.0404	4.963	0.0668	4.963	0.0819
17.138	0.467	-0.0045	0.898	0.017	1.749	-0.0148	2.029	-0.0199	2.249	0.0354	2.634	0.039	2.658	-0.0015	3.831	-0.0407	4.963	0.0182	4.963	0.055
17.139	0.417	-0.0045	1.086	0.0175	1.578	-0.0157	1.813	-0.0196	2.679	0.0432	3.147	0.0511	2.894	0.0318	3.413	-0.0401	4.963	-0.041	4.963	-0.0081
17.14	0.369	-0.0042	1.185	0.0052	1.41	-0.0154	1.608	-0.019	3.027	0.0257	3.614	0.0384	3.408	0.0544	3.062	-0.0278	4.845	-0.0459	4.963	-0.0489
17.141	0.34	-0.0012	1.11	-0.0084	1.248	-0.0145	1.464	-0.0093	3.026	-0.0102	3.721	-0.0015	4.015	0.0577	3.011	0.0061	4.354	-0.0465	4.963	-0.051
17.142	0.363	0.0046	1.007	-0.0087	1.143	-0.0066	1.504	0.01	2.755	-0.0241	3.432	-0.029	4.394	0.0239	3.347	0.0417	3.876	-0.0456	4.578	-0.051
17.143	0.443	0.0094	0.903	-0.0093	1.181	0.0088	1.745	0.0272	2.484	-0.0247	3.098	-0.0302	4.259	-0.0266	3.954	0.0629	3.491	-0.0302	4.073	-0.0468
17.144	0.547	0.0103	0.805	-0.0087	1.378	0.0227	2.095	0.0351	2.221	-0.0247	2.771	-0.0308	3.865	-0.0356	4.614	0.0595	3.45	0.0085	3.778	-0.0169
17.145	0.604	0.0031	0.712	-0.0078	1.666	0.0284	2.408	0.0251	1.968	-0.0226	2.461	-0.0287	3.478	-0.0365	4.938	0.0173	3.84	0.0484	3.942	0.029
17.146	0.561	-0.0039	0.674	-0.0006	1.91	0.0191	2.452	-0.0045	1.817	-0.0081	2.245	-0.0148	3.1	-0.0356	4.694	-0.0353	4.529	0.0713	4.543	0.0662
17.147	0.51	-0.0042	0.739	0.0097	1.917	-0.0066	2.244	-0.019	1.909	0.016	2.293	0.0136	2.759	-0.0287	4.256	-0.0404	4.963	0.0662	4.963	0.0822
17.148	0.457	-0.0042	0.898	0.0173	1.747	-0.0148	2.026	-0.0199	2.233	0.0357	2.632	0.0387	2.641	-0.0018	3.821	-0.0407	4.963	0.0179	4.963	0.0547
17.149	0.409	-0.0042	1.088	0.0182	1.575	-0.0157	1.81	-0.0196	2.668	0.0435	3.143	0.0514	2.876	0.0318	3.403	-0.0398	4.963	-0.0407	4.963	-0.0084
17.15	0.361	-0.0039	1.195	0.0058	1.407	-0.0154	1.606	-0.019	3.027	0.0266	3.613	0.0387	3.393	0.055	3.051	-0.0281	4.828	-0.0459	4.963	-0.0489
17.151	0.334	-0.0009	1.123	-0.0081	1.247	-0.0145	1.462	-0.009	3.037	-0.0093	3.727	-0.0012	4.008	0.0583	2.993	0.0055	4.338	-0.0462	4.963	-0.0507
17.152	0.359	0.0052	1.019	-0.009	1.139	-0.0069	1.502	0.01	2.767	-0.0241	3.44	-0.029	4.401	0.0254	3.326	0.0408	3.861	-0.0459	4.579	-0.0507
17.153	0.443	0.0097	0.913	-0.009	1.174	0.0085	1.741	0.0272	2.495	-0.0244	3.108	-0.0302	4.278	-0.0256	3.932	0.0632	3.474	-0.0308	4.074	-0.0468
17.154	0.553	0.0112	0.816	-0.009	1.371	0.0227	2.093	0.0351	2.232	-0.0247	2.779	-0.0302	3.884	-0.0353	4.604	0.0611	3.426	0.0076	3.78	-0.0169
17.155	0.613	0.0031	0.721	-0.0078	1.659	0.0287	2.408	0.0257	1.978	-0.0226	2.467	-0.029	3.495	-0.0362	4.946	0.0188	3.814	0.0484	3.943	0.0293
17.156	0.573	-0.0036	0.68	-0.0012	1.908	0.0197	2.458	-0.0042	1.828	-0.0084	2.247	-0.0151	3.118	-0.0353	4.718	-0.035	4.509	0.0716	4.546	0.0665
17.157	0.52	-0.0045	0.736	0.0097	1.919	-0.0063	2.249	-0.019	1.916	0.0157	2.292	0.0133	2.774	-0.0293	4.278	-0.0404	4.963	0.068	4.963	0.0822
17.158	0.468	-0.0042	0.891	0.017	1.749	-0.0145	2.032	-0.0196	2.238	0.0354	2.628	0.0387	2.654	-0.0018	3.843	-0.0407	4.963	0.0197	4.963	0.0547
17.159	0.417	-0.0045	1.081	0.0182	1.578	-0.0157	1.816	-0.0193	2.668	0.0432	3.137	0.0514	2.886	0.0315	3.426	-0.0398	4.963	-0.0401	4.963	-0.0084
17.16	0.37	-0.0039	1.187	0.0055	1.41	-0.0151	1.612	-0.019	3.026	0.0272	3.612	0.039	3.398	0.0547	3.071	-0.0284	4.859	-0.0459	4.963	-0.0489
17.161	0.339	-0.0012	1.117	-0.0081	1.249	-0.0148	1.464	-0.0096	3.039	-0.009	3.73	-0.0006	4.011	0.058	3.005	0.0046	4.369	-0.0462	4.963	-0.0507
17.162	0.361	0.0046	1.013	-0.009	1.141	-0.0066	1.498	0.0094	2.771	-0.0241	3.446	-0.0287	4.399	0.0257	3.329	0.0405	3.892	-0.0456	4.583	-0.0507
17.163	0.439	0.0091	0.909	-0.009	1.18	0.0088	1.735	0.0272	2.499	-0.025	3.113	-0.0302	4.279	-0.0259	3.931	0.0629	3.497	-0.0311	4.077	-0.0468
17.164	0.546	0.0109	0.81	-0.009	1.377	0.023	2.088	0.0351	2.235	-0.0244	2.784	-0.0302	3.882	-0.0356	4.6	0.0611	3.445	0.007	3.786	-0.0163
17.165	0.605	0.0031	0.718	-0.0075	1.665	0.0284	2.406	0.026	1.98	-0.0232	2.472	-0.0293	3.497	-0.0365	4.944	0.0191	3.824	0.0475	3.95	0.0287
17.166	0.565	-0.0036	0.676	-0.0009	1.913	0.0194	2.46	-0.0036	1.826	-0.0084	2.253	-0.0148	3.118	-0.0356	4.718	-0.0347	4.512	0.071	4.55	0.0662
17.167	0.513	-0.0045	0.739	0.0097	1.923	-0.0063	2.252	-0.019	1.91	0.0151	2.297	0.013	2.773	-0.029	4.28	-0.0407	4.963	0.0677	4.963	0.0813
17.168	0.46	-0.0042	0.894	0.017	1.753	-0.0148	2.036	-0.0199	2.228	0.0354	2.629	0.0384	2.65	-0.0024	3.844	-0.0407	4.963	0.02	4.963	0.0538
17.169	0.41	-0.0042	1.085	0.0182	1.581	-0.0157	1.82	-0.0196	2.66	0.0432	3.137	0.0508	2.88	0.0311	3.428	-0.0401	4.963	-0.0404	4.963	-0.0093
17.17	0.362	-0.0036	1.191	0.0058	1.413	-0.0154	1.614	-0.019	3.02	0.0272	3.606	0.0387	3.388	0.0541	3.068	-0.029	4.859	-0.0459	4.963	-0.0489
17.171	0.334	-0.0009	1.123	-0.0081	1.251	-0.0148	1.468	-0.0093	3.035	-0.0087	3.722	-0.0009	4.001	0.0583	2.999	0.004	4.367	-0.0468	4.963	-0.051
17.172	0.361	0.0049	1.018	-0.0093	1.143	-0.0069	1.503	0.0097	2.768	-0.0238	3.437	-0.0287	4.393	0.0254	3.318	0.0402	3.89	-0.0456	4.566	-0.0507
17.173	0.443	0.0097	0.914	-0.0087	1.178	0.0085	1.739	0.0266	2.498	-0.025	3.102	-0.0302	4.278	-0.025	3.919	0.0629	3.495	-0.0314	4.062	-0.0471
17.174	0.553	0.0109	0.815	-0.009	1.372	0.0227	2.088	0.0351	2.233	-0.0244	2.774	-0.0302	3.88	-0.0356	4.587	0.0611	3.437	0.0067	3.77	-0.0166
17.175	0.613	0.0037	0.722	-0.0078	1.659	0.0284	2.405	0.0257	1.978	-0.0229	2.465	-0.029	3.495	-0.0365	4.939	0.02	3.815	0.0472	3.937	0.0293
17.176	0.573	-0.0039	0.675	-0.0018	1.907	0.0194	2.458	-0.0036	1.823	-0.0087	2.243	-0.0151	3.116	-0.0356	4.722	-0.0347	4.498	0.071	4.54	0.0668
17.177	0.52	-0.0042	0.733	0.0094	1.917	-0.0063	2.251	-0.019	1.905	0.0148	2.284	0.0124	2.771	-0.0293	4.283	-0.0404	4.963	0.0677	4.963	0.0822
17.178	0.467	-0.0045	0.884	0.017	1.747	-0.0145	2.033	-0.0196	2.22	0.0351	2.614	0.0387	2.647	-0.0027	3.849	-0.0407	4.963	0.0206	4.963	0.055
17.179	0.416	-0.0039	1.075	0.0185	1.575	-0.0157	1.817	-0.0199	2.654	0.0432	3.126	0.0514	2.874	0.0311	3.431	-0.0401	4.963	-0.0401	4.963	-0.0087
17.18	0.369	-0.0042	1.185	0.0064	1.407	-0.0154	1.612	-0.0187	3.017	0.0278	3.604	0.0399	3.382	0.0541	3.068	-0.0293	4.859	-0.0456	4.963	-0.0492
17.181	0.339	-0.0012	1.12	-0.0081	1.247	-0.0148	1.463	-0.0102	3.042	-0.0081	3.732	0.0003	3.996	0.0583	2.994	0.0037	4.37	-0.0465	4.963	-0.051
17.182	0.359	0.0043	1.016	-0.009	1.139	-0.0066	1.493	0.0094	2.773	-0.0238	3.449	-0.0287	4.395	0.0263	3.309	0.0393	3.89	-0.0456	4.581	-0.0507
17.183	0.437	0.0094	0.913	-0.009	1.178	0.0085	1.726	0.0266	2.505	-0.025	3.118	-0.0302	4.285	-0.0244	3.904	0.0626	3.495	-0.0314	4.076	-0.0468
17.184	0.542	0.0106	0.813	-0.0087	1.375	0.023	2.077	0.0354	2.238	-0.025	2.788	-0.0302	3.889	-0.035	4.578	0.0617	3.431	0.0061	3.785	-0.0169
17.185	0.605	0.0037	0.721	-0.0078	1.662	0.0287	2.4	0.026	1.986	-0.0232	2.478	-0.029	3.502	-0.0365	4.938	0.0209	3.802	0.0466	3.952	0.0293
17.186	0.565	-0.0039	0.675	-0.0012	1.913	0.0197	2.46	-0.003	1.826	-0.0093	2.253	-0.0157	3.125	-0.0353	4.731	-0.0338	4.483	0.0704	4.552	0.0665
17.187	0.513	-0.0042	0.735	0.0091	1.923	-0.006	2.256	-0.019	1.903	0.0145	2.292	0.0124	2.777	-0.0302	4.291	-0.0404	4.963	0.0683	4.963	0.0819
17.188	0.459	-0.0045	0.888	0.0173	1.754	-0.0148	2.038	-0.0196	2.214	0.0348	2.62	0.0378	2.649	-0.003	3.857	-0.0407	4.963	0.0218	4.963	0.0544
17.189	0.41	-0.0042	1.079	0.0185	1.583	-0.0157	1.822	-0.0199	2.649	0.0435	3.129	0.0511	2.871	0.0305	3.439	-0.0401	4.963	-0.0395	4.963	-0.0093
17.19	0.363	-0.0042	1.193	0.0067	1.413	-0.0148	1.618	-0.019	3.019	0.0281	3.605	0.0396	3.379	0.0544	3.075	-0.0296	4.869	-0.0459	4.963	-0.0492
17.191	0.334	-0.0009	1.129	-0.0081	1.253	-0.0148	1.468	-0.0099	3.049	-0.0072	3.732	0.0003	3.993	0.0583	2.993	0.0027	4.378	-0.0462	4.963	-0.0507
17.192	0.358	0.0046	1.024	-0.0087	1.144	-0.0069	1.498	0.0094	2.782	-0.0241	3.45	-0.029	4.399	0.0269	3.304	0.0393	3.9	-0.0456	4.573	-0.0507
